date,ensemble,dji
2022-12-07,1174370.9480172582,1042681.6526505897
2022-12-08,1168077.2735787816,1045354.7378542669
2022-12-09,1183660.9996530004,1038855.6689310884
2022-12-12,1196418.2585641332,1038001.9262398161
2022-12-13,1192572.977680344,1044730.2565966012
2022-12-14,1178414.873676438,1047146.2139755108
2022-12-15,1160767.4048043676,1032462.9752247551
2022-12-16,1157615.084247727,1024757.4286121142
2022-12-19,1173960.14796843,1032582.5983980546
2022-12-20,1176298.188984055,1030846.7245373952
2022-12-21,1184993.0575143285,1020237.0692440011
2022-12-22,1183954.9415475316,1016210.4083516161
2022-12-23,1169400.1786080785,999822.2293922164
2022-12-26,1160051.0130807348,1011870.0384608408
2022-12-27,1157574.6106149144,1017901.3174733757
2022-12-28,1161206.536640305,1017614.8222574544
2022-12-29,1161251.3730660863,1021350.4196730718
2022-12-30,1152867.8304635473,1016452.9830025455
2023-01-02,1150692.9610787816,1021916.9492788609
2023-01-03,1160600.5322457738,1024028.8562680259
2023-01-04,1147001.96828093,1013390.8124965167
2023-01-05,1157772.3066598363,1008308.9486095454
2023-01-06,1160067.642109055,
